SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,NCR-BEML RS3R-T&C-CPD-739,22/Jan/24,30/Jan/24,Emergency Inverter ,"In TS#10-DMC1-VAC2 emergency inverter fault was reported by Metro Railway. During investigation by FTI at depot, fault was found active. On further checking, following observations are made: 
a) Pin no- 1 & 2 (110 V DC) found ok.
b) Pin no- 3 (110 V DC) EMI ok signal found ok.
c) Pin no- 4 (110 V DC) EMI ok signal found ok.
d) Pin no- 5&6 (110 V DC) START + & START- found ok.
e) Pin no 7,8 & 9 (U, V & W) output voltage is inconsistent.
f) Checked for all related wiring like grounding, looseness & found normal.
Further inverter is checked for start time delay (3 times) which came as 12,08 & 13 seconds. Based on same inverter is declared faulty. Since, inverter stock is nil in DLP, to make train fit, 1 no. of inverter is taken on loan basis from customer. After replacement function test done & found ok.
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0338 (modified)  
    Out (faulty) Sl. No: 0563 (modified)
2. Present stock of DLP is nil. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. 
Note: – This is 33rd   modified emergency inverter failure.",BTN2028U51,Modified ,___,0563,0338,Shilpa Sahu,1,VAC,10,DMC1-VAC2,M/s Faiveley,OPEN,NA,Emergency Inverter,,"GA Spares
(Loan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,NCR-BEML RS3R-T&C-CPD-740,28/Jan/24,26/Jan/24,CCU,"During daily checking by Metro Rail, it was reported that TS#10 DMC1 - right side door opening sound was not happening during right side door opening. We have checked our wiring and supply in TB, DORR1 relay , CN2 harting connector and CCU at pin no 4 and found normal but still door opening sound was not coming. Further we have swapped the CCU from DMC2 and faulty CCU installed DMC2 and then fault was also swapped. so we concluded the CCU is faulty.
Correction/ corrective action result:
1. Faulty CCU has been replaced with a healthy one from DLP stock. Functionality has been checked and result found normal. 
In SI. No: 1800702-0016
Out SI. No: 1800702-0005
2. Material to be recouped/ repaired at the earliest.
3. Investigation report to be submitted for closure ot the NCR.",___,___,___,1800702-0005,1800702-0016,Sunil Kumar Rajan,1,PAPIS,10,DMC1,M/s Televic,OPEN,Pending,CCU,26.01.24,DLP,Pending,,,Both material and IR pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,NCR-BEML RS3R-T&C-CPD-741,05/Feb/24,03/Feb/24,Emergency Inverter,"In TS#11-MC1-VAC1 emergency inverter fault was reported after carrying VAC FMIs:  a) CDF Motor FMI & b) Hardware & software 0.12 flashing.
During investigation by FTI at depot, fault was found active. On further checking, following observations are made: 
1) EMI okay (Pin no. 4) signal was low (OV)
2) EMI was giving zero output voltage.
3) Further FTI checked all related wiring & found normal.
Based on above, FTI representative confirmed that the emergency inverter was faulty. 
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0450 (modified)  
    Out (faulty) Sl. No: 0204 (modified)
2. Present stock of DLP is nil. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. 
Note: – This is 34th  modified emergency inverter failure.",BTN2028U51,Modified ,___,0204,0450,Shilpa Sahu,1,VAC,11,MC1-VAC1,M/s Faiveley,OPEN,Recouped,Emergency Inverter,03/Feb/24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,NCR-BEML RS3R-T&C-CPD-742,21/Feb/24,07/Feb/24,CDF Impeller,"In TS#05-DMC1-VAC1, CDF2, while doing Condenser fan FMI, it was found that Condenser fan impeller was very loosely fitted to Motor. After checking found that slot which was available on impeller for locking with Motor by using key was damaged. Hole got enlarged. Thus proper tightness was not there. Pics are attached for reference.
Thus to ensure safe movement of Condenser fan motor while operation, the damaged impeller from CDF assembly has been removed and was replaced from DLP Stock. 
The same to be replaced to DLP at the earliest.
Correction/ corrective action result: 
1. The faulty impeller is replaced with healthy one from DLP stock and VAC function checked and it is working normally. 
2. Investigation report to be submitted for closer of the NCR. ",FT0053009-111,___,___,___,___,Shilpa Sahu,1,VAC,05,DMC1-VAC1,M/s Faiveley,OPEN,Recouped,,20.01.2026,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,NCR-BEML RS3R-T&C-CPD-743,12/Feb/24,05/Feb/24,TCMS VDU,"Metro railway reported that in TS#06, DMC2, TCMS VDU Transmission error, TCMS found in hanged condition. Hereafter, we investigate with OEM and found “RTC data loss, System date/Time error” were appearing in VDU. OEM declared that the VDU was faulty. 
Correction / Corrective Action Result: 
1. Faulty VDU is to be repaired/ replaced by MELCO asap.
2. Fault investigation report must be submitted by MELCO for closure of NCR.",___,___,___,DM06181,___,Suraj Pd Barnwal,1,TCMS,06,DMC2,M/s Melco,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,NCR-BEML RS3R-T&C-CPD-744,12/Feb/24,18/Jan/24,Fuse Box,"TS#13 MC1 Bogie1 CCD1 Fuse box - while doing the signaling testing between Esplanade and Howrah Maidan and brought the train to Depot after completion of signaling test for train fitness. Fuse box was found faulty during the train fitness at depot.
Correction/ corrective action result: 
Fuse box has been replaced from DLP stock and detail is mentioned below:
Faulty SI. No: 183938
Healthy SI. No: 253296
1. Recoup the DLP stock at the earliest.
2. Investigation report to be submitted for closer of the NCR.",7212453,___,___,183938,253296,Sunil Kumar Rajan,1,TRCC,13,MC1-Bogie1,M/s Faiveley,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,NCR-BEML RS3R-T&C-CPD-745,21/Feb/24,09/Feb/24,CDF Impeller,"In TS#05-DMC2-VAC1, CDF2, while doing Condenser fan FMI, it was found that Condenser fan impeller was very loosely fitted to Motor. After checking found that slot which was available on impeller for locking with Motor by using key was damaged. Hole got enlarged. Thus proper tightness was not there. Pics are attached for reference.
Thus to ensure safe movement of Condenser fan motor while operation, the damaged impeller from CDF assembly has been removed and was replaced from DLP Stock. 
The same to be replaced to DLP at the earliest.
Correction/ corrective action result: 
1. The faulty impeller is replaced with healthy one from DLP stock and VAC function checked and it is working normally. 
2. Investigation report to be submitted for closer of the NCR. ",FT0053009-111,___,___,___,___,Shilpa Sahu,1,VAC,05,DMC2-VAC1,M/s Faiveley,OPEN,Recouped,,20.01.2026,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,NCR-BEML RS3R-T&C-CPD-746,21/Feb/24,03/Feb/24,"Conical rubber spring
-RH","During schedule checking of train, End customer, Metro Railway has observed that there is a bulging over conical spring at following location:
Sl. No.        CAR         Bogie        Axle          Side               Position
      1           DMC1          B-1            A-1          Right                  Back
Correction/ corrective action result:
1. M/s MTC to investigate the matter and Replacement/ Repair is required against faulty at the earliest.
2. Failure Investigation Report is required to Close NCR.",120516I238,___,___,___,___,Shilpa Sahu,1,Bogie,10,DMC-1,M/s MTC,OPEN,Pending,"Conical rubber spring
-RH",03/Feb/24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,NCR-BEML RS3R-T&C-CPD-747,11/Mar/24,10/Nov/23,MOXA Ethernet switch (28P),"Metro Railway has reported an issue with the CCTV view in TS#10 DMC2 car, where it is not being displayed in the PAPIS HMI (Human-Machine Interface). Upon investigation, it was determined that the communication between the MOXA and the CCTV HMI could not be established due to a problem with port number 17 in the MOXA device. As a result, the PTCS has concluded that the MOXA device is faulty and needs to be addressed.
Correction/ corrective action result: 
1. The faulty moxa switch is replaced with a healthy MOXA switch from DLP stock and functionality checked and it was working normally. 
    In (healthy) Sl. No: 1800698-0009  
    Out (faulty) Sl. No: 1800691-0011
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. ",___,___,___,1800691-0011,1800698-0009,Shashi Shekhar Mishra,1,PAPIS,10,DMC2,M/s Televic,OPEN,Pending,,10.11.23,DLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,NCR-BEML RS3R-T&C-CPD-748,11/Mar/24,20/Jan/24,PEAU,"According to the report from Metro Railway, there was an issue with the PEAU (Passenger Emergency Alarm Unit) in TS#12 TC1 R2. Upon investigation with the PTCS engineer, it was discovered that the power icon of the PEAU was not illuminated. Subsequently, the PTCS determined that the PEAU was indeed faulty.
Correction/ corrective action result: 
1. The faulty PEAU has been replaced with a healthy PEAU from DLP stock and function checked and it was working normally. 
    In (healthy) Sl. No: 1800698-0057  
    Out (faulty) Sl. No: 1804067-0031
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. ",___,___,___,1804067-0031,1800698-0057  ,Shashi Shekhar Mishra,1,PAPIS,12,TC1-R2,M/s Televic,OPEN,"Recouped on 
08.11.24",PEAU,20.01.24,DLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,NCR-BEML RS3R-T&C-CPD-749,11/Mar/24,20/Jan/24,TFT,"Metro Railway has reported a distortion issue with the TFT (Thin-Film Transistor) view in TS#12 DMC2 L2. Upon investigation with the PTCS engineer, it was discovered that there was a flickering problem with the TFT display. Subsequently, the OEM concluded that the TFT display is faulty and needs to be replaced. Further, same TFT was replaced with Health TFTs and found working normal.
Correction/ corrective action result:  
1. TFT is replaced from DLP stock:
    In (healthy) Sl. No: 1809477-0006
    Out (faulty) Sl. No: 1809477-0058
2. M/s Televic to repair/ recoup the TFT in the DLP at the earliest.
3. Investigation report to be submitted for closure of the NCR.",___,___,___,1809477-0058,1809477-0006,Shashi Shekhar Mishra,1,PAPIS,12,DMC2-L2,M/s Televic,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,NCR-BEML RS3R-T&C-CPD-750,04/Mar/24,28/Feb/24,Emergency Inverter,"In TS#09-MC2-VAC2 emergency inverter fault was reported by Metro Railway during their schedule checking at depot.
During investigation by FTI at depot, fault was found active. On further checking, following observations are made: 
1) EMI okay (Pin no. 4) signal was low (OV)
2) EMI was giving zero output voltage.
3) Further FTI checked all related wiring & found normal.
Based on above, FTI representative confirmed that the emergency inverter was faulty. 
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter from DLP stock and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0538 (modified)  
    Out (faulty) Sl. No: 0197 (modified)
2. Investigation report to be submitted for closer of the NCR. 
Note: – This is 35th  modified emergency inverter failure.",BTN2028U51,Modified ,___,0197, 0538 ,Shilpa Sahu,1,VAC,09,MC2-VAC2,M/s Faiveley,OPEN,Recouped,Emergency Inverter,28/Feb/24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,NCR-BEML RS3R-T&C-CPD-751,11/Mar/24,20/Jan/24,PEAU,"According to the report from Metro Railway, there was an issue with the PEAU (Passenger Emergency Alarm Unit) in TS#13 MC2 -L2. Upon investigation with the PTCS engineer, it was discovered that the power icon of the PEAU was not illuminated. Subsequently, the PTCS determined that the PEAU was indeed faulty.
Correction/ corrective action result: 
1. The faulty PEAU has been replaced with a healthy PEAU from DLP stock and function checked and it was working normally. 
    In (healthy) Sl. No: 1808402-0041  
    Out (faulty) Sl. No: 1800699-0038
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. ",___,___,___,1800699-0038,1808402-0041  ,Shashi Shekhar Mishra,1,PAPIS,13,MC2-L2,M/s Televic,OPEN,"Recouped on 
08.11.24",PEAU,20.01.24,DLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,NCR-BEML RS3R-T&C-CPD-752,11/Mar/24,20/Jan/24,PEAU,"According to the report from Metro Railway, there was an issue with the PEAU (Passenger Emergency Alarm Unit) in TS#12 MC2 - R2. Upon investigation with the PTCS engineer, it was discovered that the power icon of the PEAU was illuminated in red color and not activated. Subsequently, the PTCS determined that the PEAU was indeed faulty.
Correction/ corrective action result: 
1. The faulty PEAU has been replaced with a healthy PEAU from DLP stock and function checked and it was working normally. 
    In (healthy) Sl. No: 1808402-0132  
    Out (faulty) Sl. No: 1808402-0108
2. Items to be repaired/recouped in DLP at the earliest.
3. Investigation report to be submitted for closer of the NCR. ",___,___,___,1808402-0108,1808402-0132,Shashi Shekhar Mishra,1,PAPIS,12,MC2-R2,M/s Televic,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,NCR-BEML RS3R-T&C-CPD-753,11/Mar/24,20/Jan/24,TFT,"Metro Railway has reported a distortion issue with the TFT (Thin-Film Transistor) view in TS#13 DMC1- R1. Upon investigation with the PTCS engineer, it was discovered that there was a flickering problem with the TFT display. Subsequently, the OEM concluded that the TFT display is faulty and needs to be replaced. Further, same TFT was replaced with Health TFTs and found working normal.
Correction/ corrective action result:  
1. TFT is replaced. (TFT taken on Loan basis)
    In (healthy) Sl. No: 1800686-0048
    Out (faulty) Sl. No: 1809078-0023
2. M/s Televic to repair/ recoup the TFT in the DLP at the earliest.
3. Investigation report to be submitted for closure of the NCR.",___,___,___,1809078-0023,1800686-0048,Shashi Shekhar Mishra,1,PAPIS,13,DMC1-R1,M/s Televic,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,NCR-BEML RS3R-T&C-CPD-754,12/Mar/24,02/Mar/24,CCU,"“Bus connection failure was appearing on FDS HMI.” We investigated the issue thoroughly jointly with OEM and thereafter OEM declared that 1 no CCU found to be faulty. Faulty item need to be replaced/repaired under DLP at the earliest.
Correction / Corrective Action Result: 
i) The faulty CCU has been replaced with a healthy one from DLP stock.
    Out SI. No: 1005
    In SI. No: 1007
ii) Items to be repaired/ replaced at the earliest.",___,___,___,1005,1007,Suraj Pd Barnwal,1,FDS,12,DMC1,M/s SEMA,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,NCR-BEML RS3R-T&C-CPD-755,12/Mar/24,02/Mar/24,MRD,"“Bus connection failure was appearing on FDS HMI.” We investigated the issue thoroughly jointly with OEM and thereafter OEM declared that 1 no MRD found to be faulty. Faulty item need to be replaced/repaired under DLP at the earliest.
Correction / Corrective Action Result: 
i) The faulty MRD has been replaced with a healthy one from DLP stock.
    Out SI. No: 2009
    In SI. No: 2033
ii) Items to be repaired/ replaced at the earliest.",___,___,___,2009,2033,Suraj Pd Barnwal,1,FDS,12,TC2,M/s SEMA,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,NCR-BEML RS3R-T&C-CPD-756,02/May/24,12/Mar/24,Condenser Coil Assembly (LH),"In TS#05-DMC1-VAC1, Low pressure fault in system- 2 has been reported in mainline.
During investigation by FTI at depot, fault was found active. LP2 & HP2 pressure values were observed low. VAC S.no: F18 4057 was brought to floor for further investigation. During N2 leakage test, it has been found that, leakage is from left side condenser coil output pipe.  VAC is made ready by replacing the faulty condenser coil with healthy one from DLP stock.
CDF IN Sl : H23 002
CDF Out Sl : NA
Correction/ corrective action result: 
1. The faulty Condenser coil has been replaced from DLP by debrazing / brazing activity.
2. To make train fit for service, faulty VAC Sl no. F18 4057 was replaced with GA spare VAC with sl no. A18 4001.
3. Investigation report to be submitted for closer of the NCR. 
4. Material to be recouped in DLP.",___,___,___,NA,H23 002,Shilpa Sahu,1,VAC,05,DMC1-VAC1,M/s Faiveley,OPEN,Recouped,Condenser Coil Assembly (LH),19.03.24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,NCR-BEML RS3R-T&C-CPD-757,02/May/24,26/Apr/24,Emergency Inverter,"On 25.04.2024, inTS#05-DMC1-VAC1 emergency inverter fault was reported in mainline.
During investigation by FTI at depot on 26.04.2024, fault was found active. On further checking, following observations are made: 
1) EMI okay (Pin no. 4) signal was low (OV)
2) EMI was giving zero output voltage.
3) Further FTI checked all related wiring & found normal.
Based on above, FTI representative confirmed that the emergency inverter was faulty. 
Correction/ corrective action result: 
1. The faulty inverter is replaced with a healthy emergency inverter from DLP stock and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0398 (modified)  
    Out (faulty) Sl. No: 0549 (modified)
2. Investigation report to be submitted for closer of the NCR. 
Note: – This is 36th modified emergency inverter failure.",BTN2028U51,Modified ,___,0549,0398,Shilpa Sahu,1,VAC,03,DMC1-VAC1,M/s Faiveley,OPEN,Recouped,Emergency Inverter,26.04.24,DLP,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
